USAF,STATION_NAME,COUNTRY,LATITUDE,LONGITUDE,ELEVATION,TIMEZONE,ALIAS(ENG),ALIAS(CH),COMMENTS
014920,OSLO-BLINDERN                  ,NORWAY                 ,59.95,10.717,97,1,OSLO,奥斯陆,
020440,KIRUNA                         ,SWEDEN                 ,67.822,20.337,459.6,1,KIRUNA                         ,基律纳,
024850,STOCKHOLM                      ,SWEDEN                 ,59.35,18.067,52,1,STOCKHOLM                      ,斯德哥尔摩,
028450,ROVANIEMI                      ,FINLAND                ,66.565,25.83,196.6,2,ROVANIEMI                      ,罗瓦涅米,
028640,KEMI TORNIO                    ,FINLAND                ,65.782,24.599,18.6,2,KEMI,凯米,
029750,HELSINKI MALMI                 ,FINLAND                ,60.255,25.043,17.4,2,HELSINKI,赫尔辛基,
061800,KASTRUP                        ,DENMARK                ,55.618,12.656,5.2,1,COPENHAGEN,哥本哈根,
501360,MOHE                           ,CHINA                  ,52.967,122.533,438,8,MOHE                           ,漠河,
505270,HAILAR                         ,CHINA                  ,49.25,119.7,650,8,HAILAR                         ,海拉尔,
534870,DATONG                         ,CHINA                  ,40.083,113.417,1054,8,DATONG                         ,大同,
544970,DANDONG                        ,CHINA                  ,40.05,124.333,14,8,DANDONG                        ,丹东,
546620,ZHOUSHUIZI                     ,CHINA                  ,38.966,121.539,32.6,8,DALIAN,大连,
062400,SCHIPHOL                       ,NETHERLANDS            ,52.309,4.764,-3.4,1,AMSTERDAM,阿姆斯特丹,
071560,PARIS-MONTSOURIS               ,FRANCE                 ,48.817,2.333,77,1,PARIS,巴黎,
075100,MERIGNAC                       ,FRANCE                 ,44.828,-0.716,49.4,1,BORDEAUX,波尔多,
076500,PROVENCE                       ,FRANCE                 ,43.436,5.214,22.6,1,MARSEILLE,马赛,
085360,LISBOA                         ,PORTUGAL               ,38.781,-9.136,114,2,LISBOA                         ,里斯本,
108660,MUNCHEN                        ,GERMANY                ,48.354,11.786,453.2,1,MUNCHEN                        ,慕尼黑,
160800,LINATE                         ,ITALY                  ,45.445,9.277,107.6,1,MILAN,米兰,
010080,LONGYEAR                       ,SVALBARD               ,78.246,15.466,26.8,1,LONGYEARBYEN,朗伊尔城,
010250,TROMSO                         ,NORWAY                 ,69.683,18.919,9.4,1,TROMSO                         ,特罗姆瑟,
040300,REYKJAVIK                      ,ICELAND                ,64.13,-21.941,14.6,0,REYKJAVIK                      ,雷克雅未克,
042850,ANGISOQ                        ,GREENLAND              ,59.983,-45.2,16,-3,ANGISOQ                        ,,
043010,KAP MORRIS JESUP               ,GREENLAND              ,83.65,-33.367,4,-3,KAP MORRIS JESUP               ,,
043120,STATION NORD AWS               ,GREENLAND              ,81.6,-16.65,36,-3,STATION NORD AWS               ,,
043300,DANEBORG (AUT)                 ,GREENLAND              ,74.3,-20.217,44,-3,DANEBORG (AUT)                 ,,
043390,SCORESBYSUND                   ,GREENLAND              ,70.483,-21.95,69,-3,SCORESBYSUND                   ,,
044160,SUMMIT                         ,GREENLAND              ,72.583,-38.45,3207,-3,SUMMIT                         ,,
545110,BEIJING - CAPITAL INTERNATIONA ,CHINA                  ,40.08,116.585,35.4,8,BEIJING,北京,
545270,TIANJIN                        ,CHINA                  ,39.1,117.167,5,8,TIANJIN                        ,天津,
548230,JINAN/TSINAN                   ,CHINA                  ,36.683,116.983,58,8,JINAN                 ,济南,
548570,LIUTING                        ,CHINA                  ,36.266,120.374,10.1,8,QINGDAO,青岛,
549450,RIZHAO                         ,CHINA                  ,35.433,119.533,37,8,RIZHAO,日照,
570830,XINZHENG                       ,CHINA                  ,34.52,113.841,150.9,8,ZHENGZHOU,郑州,
580270,XUZHOU                         ,CHINA                  ,34.283,117.15,42,8,XUZHOU                         ,徐州,
066700,ZURICH                         ,SWITZERLAND            ,47.465,8.549,431.6,1,ZURICH                         ,苏黎世,
110350,WIEN/HOHE WARTE                ,AUSTRIA                ,48.25,16.367,200,1,VIENNA,维也纳,
115190,PRAHA-KARLOV / KLEMENTINUM     ,CZECH REPUBLIC         ,50.067,14.433,254,1,PRAGUE,布拉格,
128430,BUDAPEST/PESTSZENTLORINC       ,HUNGARY                ,47.433,19.183,139,1,BUDAPEST,布达佩斯,
132720,BEOGRAD                        ,SERBIA                 ,44.818,20.309,102.1,1,BEOGRAD                        ,贝尔格莱德,
133530,SARAJEVO                       ,BOSNIA AND HERZEGOVINA ,43.825,18.331,520.6,1,SARAJEVO                       ,萨拉热窝,
142410,ZAGREB                         ,CROATIA                ,45.743,16.069,107.6,1,ZAGREB                         ,萨格勒布,
467400,KAOHSIUNG INTL                 ,TAIWAN                 ,22.577,120.35,7.9,8,GAOXIONG,高雄,
470580,PYONGYANG INTL                 ,"KOREA, NORTH           ",39.224,125.67,35.7,9,PYONGYANG,平壤,
471080,SEOUL CITY                     ,"KOREA, SOUTH           ",37.567,126.967,87,9,SEOUL,首尔,
471840,JEJU                           ,"KOREA, SOUTH           ",33.517,126.533,23,9,JEJU,济州岛,
547630,YANTAI                         ,CHINA                  ,37.55,121.4,25,8,YANTAI                         ,烟台,
547760,CHENGSHANTOU                   ,CHINA                  ,37.4,122.683,47,8,CHENGSHANTOU                   ,成山头,
586590,WENZHOU                        ,CHINA                  ,28.017,120.667,7,8,WENZHOU                        ,温州,
599480,SANYA                          ,CHINA                  ,18.217,109.583,7,8,SANYA                          ,三亚,
599950,YONGSHUJIAO                    ,CHINA                  ,9.533,112.883,6,8,YONGSHUJIAO                    ,永暑礁,
599970,NANSHA DAO                     ,CHINA                  ,10.383,114.367,5,8,NANSHADAO                     ,南沙岛,
103820,TEGEL                          ,GERMANY                ,52.56,13.288,37.2,1,BERLIN,柏林,
160590,TORINO CASELLE                 ,ITALY                  ,45.201,7.65,301.4,1,TORINO,都灵,
161050,VENEZIA TESSERA                ,ITALY                  ,45.505,12.352,2.1,1,VENICE,威尼斯,
162350,URBE                           ,ITALY                  ,41.952,12.499,16.8,1,ROME,罗马,
474120,SAPPORO                        ,JAPAN                  ,43.067,141.333,26.2,9,SAPPORO                        ,札幌,
475900,SENDAI                         ,JAPAN                  ,38.267,140.9,43.8,9,SENDAI                         ,仙台,
476040,NIIGATA                        ,JAPAN                  ,37.9,139.017,5.7,9,NIIGATA                        ,新泻,
476350,NAGOYA                         ,JAPAN                  ,35.255,136.924,15.8,9,NAGOYA                         ,名古屋,
476620,TOKYO                          ,JAPAN                  ,35.683,139.767,36,9,TOKYO                          ,东京,
477650,HIROSHIMA                      ,JAPAN                  ,34.4,132.467,54,9,HIROSHIMA                      ,广岛,
477720,OSAKA                          ,JAPAN                  ,34.683,135.517,83,9,OSAKA                          ,大阪,
478190,KUMAMOTO                       ,JAPAN                  ,32.817,130.7,39.4,9,KUMAMOTO                       ,熊本,
479300,NAHA                           ,JAPAN                  ,26.196,127.646,3.7,9,NAHA                           ,那霸,
509530,HARBIN                         ,CHINA                  ,45.933,126.567,117.7,8,HAERBIN,哈尔滨,
541610,LONGJIA                        ,CHINA                  ,43.996,125.681,215.2,8,CHANGCHUN,长春,
543420,SHENYANG                       ,CHINA                  ,41.733,123.517,43,8,SHENYANG                       ,沈阳,
589680,TAIBEI                         ,CHINA                  ,25.033,121.517,9,8,TAIBEI                         ,台北,
594310,WUXU                           ,CHINA                  ,22.608,108.172,128.3,8,NANNING,南宁,
597580,HAIKOU                         ,CHINA                  ,20,110.25,24,8,HAIKOU,海口,
514630,WU LU MU QI                    ,CHINA                  ,43.783,87.617,919,8,WULUMUQI,乌鲁木齐,
528660,XINING                         ,CHINA                  ,36.617,101.767,2262,8,XINING,西宁,
528890,LANZHOU                        ,CHINA                  ,36.05,103.883,1518,8,LANZHOU                        ,兰州,
536140,YINCHUAN                       ,CHINA                  ,38.483,106.217,1112,8,YINCHUAN                       ,银川,
537720,WUSU                           ,CHINA                  ,37.747,112.628,784.9,8,TAIYUAN,太原,
555910,LHASA                          ,CHINA                  ,29.667,91.133,3650,8,LHASA                          ,拉萨,
031600,EDINBURGH                      ,UNITED KINGDOM         ,55.95,-3.373,41.1,0,EDINBURGH                      ,爱丁堡,
033340,MANCHESTER                     ,UNITED KINGDOM         ,53.354,-2.275,78.3,0,MANCHESTER                     ,曼彻斯特,
035340,BIRMINGHAM                     ,UNITED KINGDOM         ,52.454,-1.748,99.7,0,BIRMINGHAM                     ,伯明翰,
037683,CITY                           ,UNITED KINGDOM         ,51.505,0.055,5.8,0,LONDON,伦敦,
038270,PLYMOUTH/MOUNTBATTE            ,UNITED KINGDOM         ,50.35,-4.117,27,0,PLYMOUTH,普利茅斯,
510530,KABA HE                        ,CHINA                  ,48.05,86.35,534,8,KABAHE                        ,哈巴河,
515730,TURPAN                         ,CHINA                  ,42.95,89.233,39.3,8,TULUFAN,吐鲁番,
517090,KASHI                          ,CHINA                  ,39.543,76.02,1380.4,8,KASHI                          ,喀什,
528180,GOLMUD                         ,CHINA                  ,36.417,94.9,2809,8,GEERMU,格尔木,
555780,XIGAZE                         ,CHINA                  ,29.25,88.883,3837,8,RIKAZE,日喀则,
563120,NYINGCHI                       ,CHINA                  ,29.567,94.467,3001,8,LINZHI,林芝,
565710,XICHANG                        ,CHINA                  ,27.9,102.267,1599,8,XICHANG,西昌,
566710,HUILI                          ,CHINA                  ,26.65,102.25,1788,8,HUILI                          ,会理,
567390,TENGCHONG                      ,CHINA                  ,24.983,98.5,1696.9,8,TENGCHONG                      ,腾冲,
567510,DALI                           ,CHINA                  ,25.7,100.183,1992,8,DALI                           ,大理,
569690,MENGLA                         ,CHINA                  ,21.5,101.583,633,8,MENGLA                         ,勐腊,
450070,HONG KONG INTL                 ,HONG KONG              ,22.309,113.915,8.5,8,XIANGGANG,香港,
562940,SHUANGLIU                      ,CHINA                  ,30.579,103.947,495.3,8,CHENGDU,成都,
567780,WUJIABA                        ,CHINA                  ,24.992,102.744,1894.9,8,KUNMING,昆明,
570360,XIANYANG                       ,CHINA                  ,34.447,108.752,479.1,8,XI'AN,西安,
574940,TIANHE                         ,CHINA                  ,30.784,114.208,34.4,8,WUHAN,武汉,
575160,JIANGBEI                       ,CHINA                  ,29.719,106.642,416.1,8,CHONGQING,重庆,
578160,LONGDONGBAO                    ,CHINA                  ,26.539,106.801,1138.7,8,GUIYANG,贵阳,
582380,LUKOU                          ,CHINA                  ,31.742,118.862,14.9,8,NANJING,南京,
583670,HONGQIAO INTL                  ,CHINA                  ,31.198,121.336,3,8,SHANGHAI,上海,
584570,XIAOSHAN                       ,CHINA                  ,30.228,120.432,7,8,HANGZHOU,杭州,
586060,CHANGBEI INTL                  ,CHINA                  ,28.865,115.9,43.6,8,NANCHANG,南昌,
588470,CHANGLE                        ,CHINA                  ,25.935,119.663,14,8,FUZHOU,福州,
591340,GAOQI                          ,CHINA                  ,24.544,118.128,18,8,XIAMEN,厦门,
592870,BAIYUN INTL                    ,CHINA                  ,23.392,113.299,15.2,8,GUANGZHOU,广州,
592871,HUANGHUA                       ,CHINA                  ,28.189,113.22,66.1,8,CHANGSHA,长沙,
039690,DUBLIN                         ,IRELAND                ,53.421,-6.27,73.8,0,DUBLIN                         ,都柏林,
070150,LESQUIN                        ,FRANCE                 ,50.562,3.089,47.9,1,LESQUIN,里尔,
084950,GIBRALTAR                      ,GIBRALTAR              ,36.151,-5.35,4.6,1,GIBRALTAR                      ,直布罗陀,
101470,HAMBURG                        ,GERMANY                ,53.63,9.988,16.2,1,HAMBURG                        ,汉堡,
106370,FRANKFURT MAIN                 ,GERMANY                ,50.026,8.543,110.9,1,FRANKFURT         ,法兰克福,
161700,FIRENZE                        ,ITALY                  ,43.81,11.205,43.9,1,FIRENZE                        ,佛罗伦萨,
162530,GRAZZANISE                     ,ITALY                  ,41.061,14.082,8.8,1,NAPLES,那不勒斯,
165600,ELMAS                          ,ITALY                  ,39.251,9.054,4,1,CAGLIARI,卡利亚里,
419220,HAZRAT SHAHJALAL INTL          ,BANGLADESH             ,23.843,90.398,9.1,6,DHAKA,达卡,
